figura,pregunta_analitica,descripcion,interpretacion,conclusion,ruta
05_cursos_ofertados_por_periodo.png,Cuantos cursos fueron ofertados y no ofertados por periodo academico?,"Barras comparativas de cursos ofertados y no ofertados en S1, V1, S2 y V2.","Primer semestre 2024 concentra la mayor cantidad de cursos ofertados, con 51 cursos.",La oferta observada es mas amplia en periodos semestrales que en escuelas de vacaciones.,outputs/figures/eda/05_cursos_ofertados_por_periodo.png
05_asignaciones_por_periodo.png,Como varia el volumen de asignaciones y estudiantes con nota por periodo?,Barras comparativas de asignaciones registradas y estudiantes con nota por periodo.,"Primer semestre 2024 registra el mayor volumen, con 1 321 asignaciones.",El volumen de actividad academica evaluada se concentra principalmente en periodos semestrales.,outputs/figures/eda/05_asignaciones_por_periodo.png
05_top_perdida_definitiva.png,Que cursos concentran mayor perdida definitiva observada?,Barras horizontales con los cursos de mayor perdida definitiva agregada en 2024.,"El curso con mayor perdida definitiva observada es 169 - Matematica Basica 1, con 76 registros.","El conteo absoluto identifica volumen de perdida, pero debe complementarse con tasa e indice de continuidad para comparar cursos masivos contra cursos de oferta menos frecuente.",outputs/figures/eda/05_top_perdida_definitiva.png
05_oferta_por_grupo_area_periodo.png,Como se distribuye la oferta entre area comun y area profesional por periodo?,Barras comparativas de cursos ofertados por grupo academico en cada periodo.,"En area profesional, Primer semestre 2024 presenta el mayor numero de cursos ofertados, con 25 cursos.",La lectura por grupo academico evita interpretar los cursos no ofertados como una sola bolsa homogenea y permite separar area comun de cursos propios de la carrera.,outputs/figures/eda/05_oferta_por_grupo_area_periodo.png
05_cursos_profesionales_perdida_relativa.png,Que cursos profesionales combinan mayor perdida relativa y menor continuidad?,Barras horizontales de tasa de perdida definitiva en cursos profesionales con volumen minimo de registros evaluables.,"El curso profesional con mayor tasa observada es 2796 - Introduccion a la Programacion y Computacion 1, con 43.1%, n=144 e indice de continuidad 50.0%.",Este ranking es mas adecuado para detectar vulnerabilidad academica en cursos profesionales que se ofertan pocas veces durante el anio.,outputs/figures/eda/05_cursos_profesionales_perdida_relativa.png
05_recursamiento_y_aprobacion_por_grupo.png,Que flujo posterior se observa despues de una perdida definitiva por grupo academico?,"Barras de perdidas definitivas, recursamientos observables y aprobaciones posteriores para area comun y area profesional.",Area comun concentra 333 recursamientos observables posteriores a una perdida definitiva dentro de 2024.,El recursamiento observable permite medir flujo academico posterior sin asumir que la oferta por si sola asegura aprobacion.,outputs/figures/eda/05_recursamiento_y_aprobacion_por_grupo.png
05_profesional_perdida_sin_oferta_posterior.png,Que cursos profesionales acumulan perdidas sin oferta posterior observable?,Barras de cursos profesionales con perdidas definitivas y sin oferta posterior durante 2024.,"El curso profesional con mayor conteo es 2796 - Introduccion a la Programacion y Computacion 1, con 25 perdidas sin oferta posterior observable en 2024.","Estos cursos representan candidatos prioritarios para revisar continuidad de oferta, porque la perdida coincide con menor ventana observable de recursamiento.",outputs/figures/eda/05_profesional_perdida_sin_oferta_posterior.png
05_heatmap_oferta_curso_periodo.png,Que patron de continuidad de oferta muestra cada curso durante 2024?,Matriz curso-periodo donde cada celda indica si el curso fue ofertado en el periodo observado.,El patron mas frecuente es `oferta_unica`. Se identifican 40 cursos bloqueantes o dependientes con continuidad baja.,La continuidad de oferta es heterogenea y requiere analizar cursos con dependencia curricular.,outputs/figures/eda/05_heatmap_oferta_curso_periodo.png
05_distribucion_aprobacion_semestre.png,Como se distribuye la tasa de aprobacion ordinaria por semestre del pensum?,Diagrama de caja de tasas de aprobacion ordinaria agrupadas por semestre del pensum.,La dispersion por semestre permite observar variabilidad entre cursos dentro del mismo nivel curricular.,"La tasa de aprobacion debe interpretarse por curso y semestre, no solo como promedio general.",outputs/figures/eda/05_distribucion_aprobacion_semestre.png
05_perdida_vs_continuidad.png,Como se relacionan descriptivamente la perdida definitiva y la continuidad de oferta?,Dispersion por curso entre indice de continuidad de oferta y tasa de perdida definitiva.,"Los puntos combinan continuidad, perdida definitiva y cantidad de estudiantes en riesgo potencial curricular para ubicar cursos que merecen revision integrada.","La grafica apoya una lectura descriptiva conjunta, sin afirmar causalidad entre continuidad y perdida.",outputs/figures/eda/05_perdida_vs_continuidad.png
05_riesgo_por_area.png,En que areas academicas se concentra el riesgo de retraso academico potencial?,Barras horizontales de estudiantes en riesgo potencial curricular por area academica.,"El area con mayor conteo observado es Ciencias Basicas y Complementarias, con 150 registros.",El riesgo potencial se concentra de forma desigual entre areas y debe revisarse junto con cursos especificos.,outputs/figures/eda/05_riesgo_por_area.png
